Serie,Descriere,PRODUCTS
100 050 02 30,50-02-30,CILINDRI CU SFERA
100 060 02 30,60-02-30,CILINDRI CU SFERA
100 070 02 30,70-02-30,CILINDRI CU SFERA
100 036 03 30,36-03-30,CILINDRI CU SFERA
100 050 03 30,50-03-30,CILINDRI CU SFERA
100 060 03 30,60-03-30,CILINDRI CU SFERA
100 070 03 30,70-03-30,CILINDRI CU SFERA
100 080 03 30,80-03-30,CILINDRI CU SFERA
100 090 03 30,90-03-30,CILINDRI CU SFERA
100 105 03 30,0105-03-30,CILINDRI CU SFERA
100 050 03 50,50-03-50,CILINDRI CU SFERA
100 060 03 50,60-03-50,CILINDRI CU SFERA
100 070 03 50,70-03-50,CILINDRI CU SFERA
100 080 03 50,80-03-50,CILINDRI CU SFERA
100 090 03 50,90-03-50,CILINDRI CU SFERA
100 105 03 50,105-03-50,CILINDRI CU SFERA
100 115 03 50,115-03-50,CILINDRI CU SFERA
100 048 04 50,48-04-50,CILINDRI CU SFERA
100 060 04 50,60-04-50,CILINDRI CU SFERA
100 068 04 50,68-04-50,CILINDRI CU SFERA
100 085 04 50,85-04-50,CILINDRI CU SFERA
100 105 04 50,105-04-50,CILINDRI CU SFERA
100 115 04 50,115-04-50,CILINDRI CU SFERA
100 060 04 80,60-04-80,CILINDRI CU SFERA
100 068 04 80,68-04-80,CILINDRI CU SFERA
100 085 04 80,85-04-80,CILINDRI CU SFERA
100 095 04 80,95-04-80,CILINDRI CU SFERA
100 105 04 80,105-04-80,CILINDRI CU SFERA
100 120 04 80,120-04-80,CILINDRI CU SFERA
100 130 04 80,130-04-80,CILINDRI CU SFERA
100 150 04 80,150-04-80,CILINDRI CU SFERA
100 170 04 80,170-04-80,CILINDRI CU SFERA
100 200 04 80,200-04-80,CILINDRI CU SFERA
100 050 05 50,50-05-50,CILINDRI CU SFERA
100 070 05 50,70-05-50,CILINDRI CU SFERA
100 085 05 50,85-05-50,CILINDRI CU SFERA
100 105 05 50,105-05-50,CILINDRI CU SFERA
100 115 05 50,115-05-50,CILINDRI CU SFERA
100 125 05 50,125-05-50,CILINDRI CU SFERA
100 150 05 50,150-05-50,CILINDRI CU SFERA
100 185 05 50,185-05-50,CILINDRI CU SFERA
100 060 06 50,60-06-50,CILINDRI CU SFERA
100 085 06 50,85-06-50,CILINDRI CU SFERA
100 105 06 50,105-06-50,CILINDRI CU SFERA
100 115 06 50,115-06-50,CILINDRI CU SFERA
100 125 06 50,125-06-50,CILINDRI CU SFERA
100 100 05 90,100-05-90,CILINDRI CU SFERA
100 125 05 90,125-05-90,CILINDRI CU SFERA
100 150 05 90,150-05-90,CILINDRI CU SFERA
100 170 05 90,170-05-90,CILINDRI CU SFERA
